algoritmo,tipoDato,tiempo1000,tiempo10000,tiempo100000
Swap Sort,int,6334400,637111500,50100730400
Bubble Sort,int,5157300,576219500,58869383600
Selection Sort,int,3023100,265383100,26013304800
Insertion Sort,int,3651700,385565800,38714588400
Merge Sort,int,1254900,15099500,160407000
Quick Sort,int,146900,1807300,24988500
Shell Sort,int,178800,2830500,43052100
Swap Sort,double,6443500,662600400,55142166900
Bubble Sort,double,6388600,668342400,67563131900
Selection Sort,double,3032700,263259000,25598676800
Insertion Sort,double,4762800,412742500,40412955700
Merge Sort,double,1373800,15432000,161904100
Quick Sort,double,158400,2121900,27337400
Shell Sort,double,188300,3194800,59097900
Swap Sort,string,31203400,3216802200,318924009800
Bubble Sort,string,33253000,3177068500,308234743900
Selection Sort,string,12068100,1100001900,105456156700
Insertion Sort,string,24782500,2384229000,236065785100
Merge Sort,string,2416700,34450800,366613700
Quick Sort,string,675800,8709200,120414500
Shell Sort,string,931200,15948100,235504400
